,race,F,CI_F,M,CI_M
0,AMERICAN INDIAN/ALASKA NATIVE,0.138,0.014,0.141,0.014
1,ASIAN,0.262,0.014,0.132,0.011
2,BLACK/AFRICAN AMERICAN,0.254,0.015,0.168,0.015
3,HISPANIC/LATINO,0.227,0.01,0.197,0.014
4,OTHER,0.152,0.013,0.129,0.015
5,WHITE,0.155,0.012,0.141,0.014
