,age,White,CI_White,Black,CI_Black,Hisp,CI_Hisp,Other,CI_Other,Asian,CI_Asian,American,CI_American
0,0-20,0.582,0.018,0.0,0.0,0.84,0.147,0.0,0.0,0.05,0.06,1.0,0.0
1,20-40,0.213,0.011,1.0,0.0,0.232,0.012,0.338,0.014,0.247,0.012,0.243,0.027
2,40-60,0.195,0.012,0.197,0.018,0.154,0.012,0.178,0.009,0.29,0.02,0.267,0.013
3,60-80,0.129,0.013,0.026,0.009,0.109,0.009,0.155,0.013,0.161,0.007,0.191,0.014
4,80-,0.107,0.016,0.0,0.0,0.102,0.019,0.178,0.015,0.109,0.006,0.117,0.018
