,age,White,Black,Hisp,Other,Asian,American
0,80+,0.15121722846441948,0.0,0.184,0.1717171717171717,0.13636363636363635,0.18518518518518517
1,60-80,0.16589583752262216,0.10869565217391304,0.12313432835820895,0.2019704433497537,0.1880108991825613,0.22321428571428573
2,40-60,0.226,0.2,0.17343173431734318,0.19760479041916168,0.3203125,0.3035230352303523
3,20-40,0.22839506172839505,1.0,0.25396825396825395,0.3448275862068966,0.28104575163398693,0.23357664233576642
4,0-20,0.5454545454545454,0.0,0.6,0.0,0.0,1.0
