,age,M,F
0,80+,0.14645308924485126,0.16722408026755853
1,60-80,0.15748622934401602,0.19717288872779992
2,40-60,0.2184873949579832,0.27406499080318825
3,20-40,0.2109479305740988,0.29594272076372313
4,0-20,0.5,0.4166666666666667
