,race,M,F
0,WHITE,0.17547357926221335,0.19178403755868545
1,AMERICAN INDIAN/ALASKA NATIVE,0.1891891891891892,0.14545454545454545
2,OTHER,0.14805194805194805,0.1873198847262248
3,ASIAN,0.15838509316770186,0.2840909090909091
4,HISPANIC/LATINO,0.2196652719665272,0.26344086021505375
5,BLACK/AFRICAN AMERICAN,0.1899059024807528,0.30143112701252234
