,age,White,Black
0,80+,0.11187607573149742,0.12169312169312169
1,60-80,0.14431372549019608,0.1953125
2,40-60,0.2176759410801964,0.2669376693766938
3,20-40,0.22560975609756098,0.24452554744525548
4,0-20,0.6666666666666666,1.0
