,age,M,F
0,80+,0.10047846889952153,0.12754158964879853
1,60-80,0.14606741573033707,0.19135135135135134
2,40-60,0.21912350597609562,0.2773109243697479
3,20-40,0.18050541516245489,0.33540372670807456
4,0-20,0.5,1.0
