,race,M,F
0,WHITE,0.15187770023263542,0.16854460093896714
1,AMERICAN INDIAN/ALASKA NATIVE,0.16216216216216217,0.16363636363636364
2,OTHER,0.14805194805194805,0.1585014409221902
3,ASIAN,0.13975155279503104,0.2784090909090909
4,HISPANIC/LATINO,0.20920502092050208,0.23118279569892472
5,BLACK/AFRICAN AMERICAN,0.18306244653550044,0.26744186046511625
