,age,White,Black,Hisp,Other,Asian,American
0,80+,0.12406367041198502,0.0,0.128,0.1919191919191919,0.10606060606060606,0.13756613756613756
1,60-80,0.1409611904283129,0.043478260869565216,0.11567164179104478,0.16748768472906403,0.16621253405994552,0.20647321428571427
2,40-60,0.2036,0.225,0.16605166051660517,0.18562874251497005,0.30078125,0.2764227642276423
3,20-40,0.2222222222222222,1.0,0.23809523809523808,0.3448275862068966,0.26143790849673204,0.2591240875912409
4,0-20,0.5909090909090909,0.0,1.0,0.0,0.125,1.0
