,age,M,F
0,80+,0.12890922959572845,0.12709030100334448
1,60-80,0.13745618427641462,0.16853932584269662
2,40-60,0.1953781512605042,0.2568976088289393
3,20-40,0.20293724966622162,0.30787589498806683
4,0-20,0.5833333333333334,0.5416666666666666
