,race,M,F
0,WHITE,0.15137919574609504,0.16572769953051644
1,AMERICAN INDIAN/ALASKA NATIVE,0.13513513513513514,0.12727272727272726
2,OTHER,0.14285714285714285,0.16138328530259366
3,ASIAN,0.14596273291925466,0.26704545454545453
4,HISPANIC/LATINO,0.20920502092050208,0.239247311827957
5,BLACK/AFRICAN AMERICAN,0.1847733105218135,0.26028622540250446
