,age,M,F
0,80+,0.12585812356979406,0.11103678929765887
1,60-80,0.13470205307961944,0.16672707502718376
2,40-60,0.19957983193277312,0.2575107296137339
3,20-40,0.205607476635514,0.3269689737470167
4,0-20,0.5833333333333334,0.5416666666666666
