,age,White,Black,Hisp,Other,Asian,American
0,80+,0.11657303370786516,0.0,0.12,0.1919191919191919,0.12121212121212122,0.10582010582010581
1,60-80,0.13895033179167504,0.021739130434782608,0.11567164179104478,0.16748768472906403,0.16893732970027248,0.19977678571428573
2,40-60,0.2064,0.1875,0.16605166051660517,0.18562874251497005,0.30859375,0.28319783197831977
3,20-40,0.22839506172839505,1.0,0.23809523809523808,0.3448275862068966,0.2549019607843137,0.2846715328467153
4,0-20,0.5909090909090909,0.0,1.0,0.0,0.125,1.0
