,age,White,Black,Hisp,Other,Asian,American
0,80+,0.10065543071161048,0.0,0.088,0.1414141414141414,0.07575757575757576,0.10052910052910052
1,60-80,0.12326563442589986,0.021739130434782608,0.08955223880597014,0.14285714285714285,0.14713896457765668,0.18526785714285715
2,40-60,0.1892,0.2125,0.11439114391143912,0.16766467065868262,0.265625,0.2601626016260163
3,20-40,0.20833333333333334,1.0,0.25396825396825395,0.3103448275862069,0.23529411764705882,0.1897810218978102
4,0-20,0.5,0.0,0.6,0.0,0.125,1.0
