,race,M,F
0,WHITE,0.13675639747424392,0.14647887323943662
1,AMERICAN INDIAN/ALASKA NATIVE,0.14864864864864866,0.14545454545454545
2,OTHER,0.10909090909090909,0.1239193083573487
3,ASIAN,0.12732919254658384,0.2215909090909091
4,HISPANIC/LATINO,0.19246861924686193,0.1935483870967742
5,BLACK/AFRICAN AMERICAN,0.15996578272027373,0.23434704830053668
