,age,M,F
0,80+,0.11365369946605644,0.10100334448160535
1,60-80,0.1344516775162744,0.15476621964479884
2,40-60,0.20168067226890757,0.24831391784181484
3,20-40,0.18958611481975968,0.27923627684964203
4,0-20,0.5,0.375
