,race,M,F
0,WHITE,0.1510468594217348,0.15211267605633802
1,AMERICAN INDIAN/ALASKA NATIVE,0.14864864864864866,0.12727272727272726
2,OTHER,0.12207792207792208,0.1585014409221902
3,ASIAN,0.13043478260869565,0.2215909090909091
4,HISPANIC/LATINO,0.20502092050209206,0.22580645161290322
5,BLACK/AFRICAN AMERICAN,0.1770744225834046,0.24686940966010734
