,age,M,F
0,80+,0.15179252479023647,0.1351170568561873
1,60-80,0.16374561842764146,0.18992388546574845
2,40-60,0.23739495798319327,0.2826486817903127
3,20-40,0.24699599465954605,0.324582338902148
4,0-20,0.5,0.4583333333333333
