,age,White,Black,Hisp,Other,Asian,American
0,80+,0.1404494382022472,0.0,0.16,0.16161616161616163,0.13636363636363635,0.14814814814814814
1,60-80,0.16629800924994972,0.06521739130434782,0.12686567164179105,0.2019704433497537,0.19346049046321526,0.22544642857142858
2,40-60,0.2424,0.2,0.2029520295202952,0.19161676646706588,0.3203125,0.31842818428184283
3,20-40,0.25925925925925924,1.0,0.2698412698412698,0.3103448275862069,0.3006535947712418,0.291970802919708
4,0-20,0.5454545454545454,0.0,0.8,0.0,0.0,1.0
