,race,M,F
0,WHITE,0.18743768693918245,0.18427230046948356
1,AMERICAN INDIAN/ALASKA NATIVE,0.17567567567567569,0.12727272727272726
2,OTHER,0.16883116883116883,0.1873198847262248
3,ASIAN,0.15217391304347827,0.2784090909090909
4,HISPANIC/LATINO,0.2384937238493724,0.25268817204301075
5,BLACK/AFRICAN AMERICAN,0.20530367835757057,0.29874776386404295
