,age,White,Black,Hisp,Other,Asian,American
0,80+,0.11750936329588015,0.0,0.136,0.13131313131313133,0.13636363636363635,0.12962962962962962
1,60-80,0.1435753066559421,0.08695652173913043,0.12313432835820895,0.18226600985221675,0.14986376021798364,0.18415178571428573
2,40-60,0.2036,0.225,0.12915129151291513,0.17365269461077845,0.27734375,0.2669376693766938
3,20-40,0.22530864197530864,1.0,0.2698412698412698,0.3103448275862069,0.2679738562091503,0.24817518248175183
4,0-20,0.5454545454545454,0.0,1.0,0.0,0.125,1.0
