,age,M,F
0,80+,0.11670480549199085,0.12441471571906354
1,60-80,0.13745618427641462,0.16636462486408118
2,40-60,0.19327731092436976,0.2446351931330472
3,20-40,0.2109479305740988,0.29594272076372313
4,0-20,0.5,0.5416666666666666
