,race,M,F
0,WHITE,0.1528747092057162,0.1671361502347418
1,AMERICAN INDIAN/ALASKA NATIVE,0.17567567567567569,0.18181818181818182
2,OTHER,0.13506493506493505,0.1585014409221902
3,ASIAN,0.14285714285714285,0.23863636363636365
4,HISPANIC/LATINO,0.20711297071129708,0.20967741935483872
5,BLACK/AFRICAN AMERICAN,0.16766467065868262,0.25402504472271914
