,age,M,F
0,80+,0.1076555023923445,0.11829944547134935
1,60-80,0.14526484751203853,0.19783783783783784
2,40-60,0.2297476759628154,0.2823529411764706
3,20-40,0.21299638989169675,0.35403726708074534
4,0-20,0.5,1.0
