,age,White,Black
0,80+,0.11876075731497418,0.10582010582010581
1,60-80,0.1450980392156863,0.19977678571428573
2,40-60,0.2160392798690671,0.28319783197831977
3,20-40,0.23170731707317074,0.2846715328467153
4,0-20,0.6666666666666666,1.0
