,race,M,F
0,WHITE,0.13825191093386507,0.15258215962441316
1,AMERICAN INDIAN/ALASKA NATIVE,0.13513513513513514,0.12727272727272726
2,OTHER,0.12987012987012986,0.15273775216138327
3,ASIAN,0.13354037267080746,0.2556818181818182
4,HISPANIC/LATINO,0.19874476987447698,0.22580645161290322
5,BLACK/AFRICAN AMERICAN,0.15911035072711718,0.259391771019678
