,age,White,Black,Hisp,Other,Asian,American
0,80+,0.10814606741573034,0.0,0.096,0.1717171717171717,0.10606060606060606,0.13227513227513227
1,60-80,0.12567866478986528,0.021739130434782608,0.11567164179104478,0.15763546798029557,0.16076294277929154,0.18861607142857142
2,40-60,0.1916,0.1875,0.15129151291512916,0.17365269461077845,0.2890625,0.26558265582655827
3,20-40,0.20679012345679013,1.0,0.23809523809523808,0.3448275862068966,0.2549019607843137,0.21897810218978103
4,0-20,0.5909090909090909,0.0,0.8,0.0,0.0,1.0
