,age,M,F
0,80+,0.11441647597254005,0.1117056856187291
1,60-80,0.12243365047571357,0.1551286698079014
2,40-60,0.1815126050420168,0.24647455548743102
3,20-40,0.1842456608811749,0.28878281622911695
4,0-20,0.5833333333333334,0.4583333333333333
