,age,M,F
0,80+,0.10047846889952153,0.13123844731977818
1,60-80,0.12921348314606743,0.19135135135135134
2,40-60,0.21248339973439576,0.27058823529411763
3,20-40,0.16967509025270758,0.3105590062111801
4,0-20,0.5,1.0
