,age,White,Black
0,80+,0.10843373493975904,0.13227513227513227
1,60-80,0.13254901960784313,0.18861607142857142
2,40-60,0.20458265139116202,0.26558265582655827
3,20-40,0.22560975609756098,0.21897810218978103
4,0-20,0.6666666666666666,1.0
