,Age,F,CI_F,M,CI_M
0,0-20,0.442,0.055,0.5,0.0
1,20-40,0.296,0.015,0.206,0.024
2,40-60,0.256,0.019,0.207,0.019
3,60-80,0.171,0.019,0.143,0.015
4,80-,0.124,0.026,0.127,0.018
