,age,White,Black,Hisp,Other,Asian,American
0,80+,0.07584269662921349,0.0,0.072,0.15151515151515152,0.10606060606060606,0.0873015873015873
1,60-80,0.10516790669615926,0.021739130434782608,0.09328358208955224,0.1330049261083744,0.14713896457765668,0.16629464285714285
2,40-60,0.1724,0.175,0.13284132841328414,0.16167664670658682,0.25,0.24525745257452575
3,20-40,0.19753086419753085,1.0,0.20634920634920634,0.3103448275862069,0.22875816993464052,0.20802919708029197
4,0-20,0.5454545454545454,0.0,0.6,0.0,0.0,1.0
