,age,M,F
0,80+,0.07932875667429443,0.08160535117056857
1,60-80,0.09989984977466199,0.1377310619789779
2,40-60,0.16176470588235295,0.22562844880441446
3,20-40,0.17757009345794392,0.26252983293556087
4,0-20,0.5833333333333334,0.375
