,race,M,F
0,WHITE,0.11448986374210701,0.13309859154929576
1,AMERICAN INDIAN/ALASKA NATIVE,0.12162162162162163,0.12727272727272726
2,OTHER,0.10909090909090909,0.12680115273775217
3,ASIAN,0.11180124223602485,0.23863636363636365
4,HISPANIC/LATINO,0.17154811715481172,0.20967741935483872
5,BLACK/AFRICAN AMERICAN,0.1454234388366125,0.22450805008944544
