,age,White,Black
0,80+,0.06712564543889846,0.0873015873015873
1,60-80,0.10980392156862745,0.16629464285714285
2,40-60,0.18985270049099837,0.24525745257452575
3,20-40,0.21951219512195122,0.20802919708029197
4,0-20,0.6666666666666666,1.0
