,race,M,F
0,WHITE,0.14772349617813227,0.15657276995305164
1,AMERICAN INDIAN/ALASKA NATIVE,0.14864864864864866,0.14545454545454545
2,OTHER,0.11428571428571428,0.16138328530259366
3,ASIAN,0.12732919254658384,0.2727272727272727
4,HISPANIC/LATINO,0.19456066945606695,0.23118279569892472
5,BLACK/AFRICAN AMERICAN,0.16852010265183917,0.2584973166368515
