,age,White,Black,Hisp,Other,Asian,American
0,80+,0.11142322097378277,0.0,0.096,0.18181818181818182,0.10606060606060606,0.12169312169312169
1,60-80,0.13372209933641666,0.021739130434782608,0.1044776119402985,0.1477832512315271,0.16076294277929154,0.1953125
2,40-60,0.2016,0.2125,0.15129151291512916,0.18562874251497005,0.30078125,0.2669376693766938
3,20-40,0.20987654320987653,1.0,0.23809523809523808,0.3448275862068966,0.23529411764705882,0.24452554744525548
4,0-20,0.5909090909090909,0.0,0.8,0.0,0.0,1.0
