,age,M,F
0,80+,0.11670480549199085,0.11237458193979934
1,60-80,0.13119679519278918,0.15730337078651685
2,40-60,0.1899159663865546,0.2544451256897609
3,20-40,0.1855807743658211,0.30071599045346065
4,0-20,0.5833333333333334,0.4583333333333333
